pool,week,import
GBDCT,2022-11-06,71
GBDPT,2022-06-26,127
GBFXS,2020-05-31,3126
GBFXS,2022-11-06,4007
GBLDS,2021-04-18,203
GBLGP,2024-06-30,1347
GBLPL,2022-01-16,346
GBLPL,2022-10-23,486
GBLPL,2023-08-27,403
GBMNC,2018-08-05,426
GBMNC,2019-03-17,314
GBMNC,2021-11-21,284
GBSOU,2024-09-01,618
GBTEE,2020-11-22,84
GBWID,2018-08-05,734
GBWID,2023-02-19,438
GBDPT,2022-11-27,121
GBLDS,2025-01-12,118
GBMNC,2017-10-22,874
GBTEE,2023-09-24,221
GBWID,2022-02-20,381
GBTEE,2017-12-24,287
GBBFS,2018-07-29,166
GBBGH,2017-10-29,1052
GBBGH,2019-04-28,689
GBBGH,2020-03-29,326
GBBGH,2021-05-23,615
GBBGH,2023-06-18,448
GBDPT,2021-06-13,68
GBDPT,2021-08-22,75
GBFXS,2018-03-25,3993
GBLGP,2021-04-04,2256
GBLGP,2023-01-01,842
GBLPL,2020-07-26,529
GBLPL,2022-06-05,280
GBMNC,2018-07-01,429
GBSFD,2018-08-12,204
GBSFD,2019-04-07,205
GBSOU,2023-01-08,623
GBTEE,2019-02-17,242
GBTEE,2024-12-01,138
GBWID,2020-09-27,437
GBDCT,2022-10-30,58
GBLGP,2024-09-01,1000
GBMNC,2023-11-19,295
GBSFD,2017-02-12,141
GBSSH,2017-07-02,99
GBTEE,2021-07-11,342
GBSOU,2020-07-05,304
GBCDF,2024-09-15,41
GBBGH,2018-03-25,962
GBCDF,2021-03-28,116
GBCDF,2024-09-08,33
GBDCT,2019-12-01,341
GBFXS,2019-09-15,5402
GBFXS,2024-09-08,3087
GBGMO,2017-06-18,200
GBGMO,2023-07-30,113
GBLDS,2017-06-11,356
GBLDS,2017-08-13,315
GBLDS,2018-04-08,263
GBLDS,2018-09-02,233
GBLGP,2018-05-27,1536
GBLGP,2020-04-12,1067
GBLGP,2021-03-07,2205
GBLPL,2022-03-27,431
GBLPL,2022-09-18,538
GBMNC,2022-07-24,232
GBMNC,2023-02-26,263
GBSFD,2017-03-26,116
GBSFD,2022-07-24,344
GBSSH,2023-02-05,187
GBTEE,2022-06-12,134
GBWID,2017-01-08,435
GBBFS,2022-08-14,125
GBDPT,2022-12-25,95
GBFXS,2024-05-12,3175
GBSOU,2019-02-10,213
GBSOU,2022-03-27,524
GBSSH,2018-07-01,196
GBWID,2022-01-02,169
GBDCT,2020-10-25,286
GBMNC,2024-07-21,286
GBBFS,2017-12-03,126
GBBGH,2021-06-27,586
GBBGH,2021-09-26,485
GBCDF,2020-11-15,114
GBDPT,2021-01-03,17
GBFXS,2019-01-20,5219
GBLDS,2021-08-15,147
GBLGP,2017-09-03,1173
GBLGP,2019-10-27,1185
GBLGP,2023-06-25,1329
GBLPL,2022-12-25,374
GBMNC,2020-03-15,394
GBMNC,2022-05-29,297
GBMNC,2023-01-01,71
